semantic_id,uscdi_element,uscdi_description,classification,ruleset_category,privacy_security,domain,rollup_relationship,is_rollup,composite_group,data_steward,steward_contact,approval_status,schema_version,last_modified_date,identifier_type,identifier_authority,hipaa_category,fhir_security_label,consent_category,hie_survivorship_logic,data_source_rank_reference,coverage_personids,granularity_level,innovaccer_survivorship_logic,data_quality_notes,fhir_r4_path,fhir_data_type,shie_survivorship_logic,calculation_grain,historical_freeze,recalc_window_months,fhir_must_support,fhir_profile,fhir_cardinality,identity_resolution_notes,tie_breaker_rule,conflict_detection_enabled,manual_override_allowed,de_identification_method
Patient.name_first,First Name,Patient's first/given name,Master Demographics,Static Identity,,,,,,,,,,,,,,,,"Most complete (full name > initial), most recent user entry as tiebreaker, ignore anonymous values",Mark's Table 2 (Names),~647K,Specific,Ask Innovaccer what logic they use to arrive at SBR,"Ignore Verato anonymous_list entries; PRIORITY: HumanName.use='official' > 'usual', explicitly exclude .use='old'",Patient.name.given,HumanName.given[0] (string),,,,,,,,,,,,
Patient.name_last,Last Name,Patient's last/family name,Master Demographics,Static Identity,,,,,,,,,,,,,,,,"Most complete, most recent user entry as tiebreaker, ignore anonymous values",Mark's Table 2 (Names),~647K,Specific,Ask Innovaccer what logic they use to arrive at SBR,"Ignore Verato anonymous_list entries; PRIORITY: HumanName.use='official' > 'usual', explicitly exclude .use='old'",Patient.name.family,HumanName.family (string),,,,,,,,,,,,
Patient.name_middle,Middle Name,Patient's middle name(s),Master Demographics,Static Identity,,,,,,,,,,,,,,,,"Complete middle name > initial > null, most recent as tiebreaker",Mark's Table 2 (Names),Variable,Specific > Partial,Ask Innovaccer what logic they use to arrive at SBR,"Full name beats initial; PRIORITY: HumanName.use='official' > 'usual', explicitly exclude .use='old'",Patient.name.given,HumanName.given[1+] (string array),,,,,,,,,,,,
Patient.name_suffix,Suffix,"Name suffix (Jr., Sr., III, etc.)",Master Demographics,Static Identity,,,,,,,,,,,,,,,,"Most recent valid entry, ignore if inconsistent with other name components",Mark's Table 2 (Names),Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Validate consistency with full name,Patient.name.suffix,HumanName.suffix (0..*),,,,,,,,,,,,
Patient.name_prev,Previous Name,Prior legal names,Master Demographics,Static Identity,,,,,,,,,,,,,,,,"Maintain all historical names with effective dates, do not overwrite",Mark's Table 2 (Names),Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Support multiple values with date ranges,Patient.name (with period.start/end),HumanName with Period (0..*),,,,,,,,,,,,
Patient.birth_date,Date of Birth,Patient's birth date,Master Demographics,Static Identity,,,,,,,,,,,,,,,,"Most reliable source (birth certificate > government ID > self-report), ignore implausible values",Verato UMPI match field,~647K (99%+),Specific,Ask Innovaccer what logic they use to arrive at SBR,Part of UMPI matching algorithm,Patient.birthDate,date,,,,,,,,,,,,
Patient.death_date,Date of Death,Patient's date of death,Master Demographics,Static Identity (Vital Status),,,,,,,,,,,,,,,,"Most reliable source (death certificate > vital records > hospital discharge disposition > mortality file), immutable once verified, timestamp required, blocks identity merges with living patients","MEDS file primary, CMT disposition secondary",Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Critical for EMPI merge blocking; Choice type: can be boolean (deceased=true) OR dateTime; PRIORITY: deceasedDateTime (Mortality File) > deceasedBoolean (hospital discharge),Patient.deceased[x],Choice: deceasedBoolean OR deceasedDateTime,,,,,,,,,,,,
Patient.birth_sex,Sex,Sex assigned at birth,Master Demographics,Static Identity,,,,,,,,,,,,,,,,"Most reliable source, medical record > government ID > self-report for clinical purposes",Verato UMPI match field,~647K (99%+),Specific,Ask Innovaccer what logic they use to arrive at SBR,"Part of UMPI matching algorithm, only 2 unknown values in expanded population; NOTE: Patient.gender is administrative gender, not birth sex; MAPPING: US Core Birth Sex uses M/F/UNK only - map U or O codes to UNK for validation",Patient.extension(us-core-birthsex),Extension ? code (M/F/UNK),,,,,,,,,,,,
Patient.gender_id,Gender Identity,Patient's current gender identity,Master Demographics,Dynamic Identity,,,,,,,,,,,,,,,,"Most recent self-reported value, timestamp required, patient preference always wins",Patient-facing sources prioritized,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Self-report trumps all; US Core v5+ uses Observation for temporal tracking,Observation.valueCodeableConcept (LOINC 76691-5),Observation resource (US Core Observation Gender Identity Profile),,,,,,,,,,,,
Patient.sexual_orient,Sexual Orientation,Patient's sexual orientation,Master Demographics,Dynamic Identity,Sensitive/SOGI: Restricted access; usually requires explicit consent.,,,,,,,,,,,,,,,"Most recent self-reported value, timestamp required, patient preference always wins",Patient-facing sources prioritized,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Self-report trumps all; US Core v5+ uses Observation for temporal tracking and provenance,Observation.valueCodeableConcept (LOINC 76690-7),Observation resource (US Core Observation Sexual Orientation Profile),,,,,,,,,,,,
