USCDI Element,USCDI Description,Classification,Ruleset Category,SHIE Survivorship Logic,Data Source Rank Reference,Coverage (# PersonIDs),Granularity Level,Innovaccer Survivorship Logic,Privacy/Security,Data Quality Notes,Semantic ID,FHIR R4 Path,FHIR Data Type
First Name,Patient's first/given name,Master Demographics,Static Identity,"Most complete (full name > initial), most recent user entry as tiebreaker, ignore anonymous values",Mark's Table 2 (Names),~647K,Specific,Ask Innovaccer what logic they use to arrive at SBR,,"Ignore Verato anonymous_list entries; PRIORITY: HumanName.use='official' > 'usual', explicitly exclude .use='old'",Patient.name_first,Patient.name.given,HumanName.given[0] (string)
Last Name,Patient's last/family name,Master Demographics,Static Identity,"Most complete, most recent user entry as tiebreaker, ignore anonymous values",Mark's Table 2 (Names),~647K,Specific,Ask Innovaccer what logic they use to arrive at SBR,,"Ignore Verato anonymous_list entries; PRIORITY: HumanName.use='official' > 'usual', explicitly exclude .use='old'",Patient.name_last,Patient.name.family,HumanName.family (string)
Middle Name,Patient's middle name(s),Master Demographics,Static Identity,"Complete middle name > initial > null, most recent as tiebreaker",Mark's Table 2 (Names),Variable,Specific > Partial,Ask Innovaccer what logic they use to arrive at SBR,,"Full name beats initial; PRIORITY: HumanName.use='official' > 'usual', explicitly exclude .use='old'",Patient.name_middle,Patient.name.given,HumanName.given[1+] (string array)
Suffix,"Name suffix (Jr., Sr., III, etc.)",Master Demographics,Static Identity,"Most recent valid entry, ignore if inconsistent with other name components",Mark's Table 2 (Names),Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,,Validate consistency with full name,Patient.name_suffix,Patient.name.suffix,HumanName.suffix (0..*)
Previous Name,Prior legal names,Master Demographics,Static Identity,"Maintain all historical names with effective dates, do not overwrite",Mark's Table 2 (Names),Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,,Support multiple values with date ranges,Patient.name_prev,Patient.name (with period.start/end),HumanName with Period (0..*)
Date of Birth,Patient's birth date,Master Demographics,Static Identity,"Most reliable source (birth certificate > government ID > self-report), ignore implausible values",Verato UMPI match field,~647K (99%+),Specific,Ask Innovaccer what logic they use to arrive at SBR,,Part of UMPI matching algorithm,Patient.birth_date,Patient.birthDate,date
Date of Death,Patient's date of death,Master Demographics,Static Identity (Vital Status),"Most reliable source (death certificate > vital records > hospital discharge disposition > mortality file), immutable once verified, timestamp required, blocks identity merges with living patients","MEDS file primary, CMT disposition secondary",Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,,Critical for EMPI merge blocking; Choice type: can be boolean (deceased=true) OR dateTime; PRIORITY: deceasedDateTime (Mortality File) > deceasedBoolean (hospital discharge),Patient.death_date,Patient.deceased[x],Choice: deceasedBoolean OR deceasedDateTime
Sex,Sex assigned at birth,Master Demographics,Static Identity,"Most reliable source, medical record > government ID > self-report for clinical purposes",Verato UMPI match field,~647K (99%+),Specific,Ask Innovaccer what logic they use to arrive at SBR,,"Part of UMPI matching algorithm, only 2 unknown values in expanded population; NOTE: Patient.gender is administrative gender, not birth sex; MAPPING: US Core Birth Sex uses M/F/UNK only - map U or O codes to UNK for validation",Patient.birth_sex,Patient.extension(us-core-birthsex),Extension ? code (M/F/UNK)
Gender Identity,Patient's current gender identity,Master Demographics,Dynamic Identity,"Most recent self-reported value, timestamp required, patient preference always wins",Patient-facing sources prioritized,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,,Self-report trumps all; US Core v5+ uses Observation for temporal tracking,Patient.gender_id,Observation.valueCodeableConcept (LOINC 76691-5),Observation resource (US Core Observation Gender Identity Profile)
Sexual Orientation,Patient's sexual orientation,Master Demographics,Dynamic Identity,"Most recent self-reported value, timestamp required, patient preference always wins",Patient-facing sources prioritized,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Sensitive/SOGI: Restricted access; usually requires explicit consent.,Self-report trumps all; US Core v5+ uses Observation for temporal tracking and provenance,Patient.sexual_orient,Observation.valueCodeableConcept (LOINC 76690-7),Observation resource (US Core Observation Sexual Orientation Profile)
